#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,2,organic_traffic,https://beispiel.de/de/
,,0,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,10,organic_traffic,https://beispiel.de/de/
,,0,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,200,organic_traffic,https://beispiel.de/de/
,,0,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,2,organic_traffic,https://beispiel.de/de/
,,1,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,25,loading_times,https://beispiel.de/de/
,,1,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,0.1,loading_times,https://beispiel.de/de/
,,1,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,11,loading_times,https://beispiel.de/de/
,,1,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,109,loading_times,https://beispiel.de/de/
,,2,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,14,loading_times_external,https://beispiel.de/de/
,,2,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,28,loading_times_external,https://beispiel.de/de/
,,2,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,15,loading_times_external,https://beispiel.de/de/
,,2,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,17,loading_times_external,https://beispiel.de/de/
,,3,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,2,loading_times_internal,https://beispiel.de/de/
,,3,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,15,loading_times_internal,https://beispiel.de/de/
,,3,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,95,loading_times_internal,https://beispiel.de/de/
,,3,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,5,loading_times_internal,https://beispiel.de/de/
,,4,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,3,count_translations,https://beispiel.de/de/
,,4,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,3,count_translations,https://beispiel.de/de/
,,4,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,3,count_translations,https://beispiel.de/de/
